queryNumber,OptimalBST,Array,HashTable
0,0.000000,0.000000,0.000000
1000,0.000000,0.000000,0.000000
2000,0.000000,0.000000,0.999000
3000,0.000000,0.000000,0.997300
4000,0.997600,0.000000,0.997300
5000,0.997100,0.000000,0.997200
6000,0.997000,0.998000,0.000000
7000,0.998300,0.996800,0.998500
8000,0.729200,1.529900,0.465900
9000,0.996000,1.030000,0.965300
10000,0.996500,1.994300,0.997200
11000,0.996500,0.997000,3.024600
12000,1.962000,1.995100,1.238400
13000,0.998300,3.989600,1.993200
14000,2.735000,1.922300,2.992000
15000,3.986700,4.004700,3.305000
16000,3.831500,2.991800,1.997100
17000,3.712000,3.235500,2.029500
18000,1.958300,1.995100,2.992100
19000,1.994500,1.994900,2.991900
20000,2.313700,2.823500,2.962700
21000,1.994300,1.994500,2.992000
22000,1.994800,2.993500,2.991200
23000,1.994100,2.992100,3.296200
24000,2.027200,3.320300,2.992100
25000,2.835500,2.992100,2.992200
26000,2.991400,2.991700,3.989900
27000,2.992300,3.988700,2.992200
28000,3.042800,2.735600,3.989900
29000,3.322500,3.914200,3.962500
30000,2.855000,3.752900,3.228400
31000,2.989800,3.990400,2.991900
32000,5.983400,4.580600,3.398300
33000,2.990800,5.087000,3.889200
34000,3.987500,4.374400,4.201900
35000,2.454000,3.989300,4.520200
36000,3.795500,3.989500,5.032700
37000,3.708700,3.988900,4.986600
38000,6.981600,7.978100,5.327100
39000,3.953300,3.989500,4.987400
40000,3.987800,5.658300,4.990500
41000,3.989600,4.987800,5.020300
42000,3.988500,5.983700,5.444800
43000,4.574000,4.986800,5.986300
44000,4.984000,4.986900,5.984200
45000,4.986800,4.991800,5.978500
46000,4.986000,5.693000,6.276100
47000,3.988400,5.984100,5.984100
48000,4.986300,5.984400,5.983700
49000,5.984300,5.983800,5.984600
50000,4.265900,5.982700,5.984000
51000,4.986100,5.983600,7.172600
52000,4.986600,6.982000,5.983700
53000,5.753900,6.166700,5.983100
54000,7.226500,6.736300,7.071100
55000,4.986500,6.982800,6.979500
56000,5.984400,6.980900,7.147400
57000,5.984300,7.268600,9.685400
58000,6.013100,7.965900,6.981600
59000,5.548100,6.981100,13.962600
60000,4.987200,6.980900,7.453300
61000,5.986200,7.793800,7.747500
62000,5.707400,8.582500,7.730900
63000,6.644400,7.389100,10.963100
64000,8.025400,12.919100,11.967500
65000,8.021500,11.956600,12.788500
66000,7.978600,12.964300,12.437400
67000,10.888100,22.230200,24.744800
68000,9.974000,18.948600,13.359400
69000,9.973900,12.965000,12.964800
70000,8.975600,12.965400,13.963700
71000,9.973700,18.949000,13.963100
72000,8.976400,14.289000,12.965700
73000,8.162200,13.962300,13.962700
74000,8.975900,14.611000,13.314200
75000,12.965300,17.952500,13.995200
76000,9.564000,14.837600,13.964800
77000,9.069900,13.962700,14.960600
78000,10.008200,13.969900,14.961200
79000,8.975200,15.294800,15.281700
80000,10.005300,15.924400,15.957000
81000,9.972100,15.569800,15.347900
82000,9.612300,14.960400,15.956600
83000,9.582200,15.383600,15.960700
84000,14.172100,15.913200,15.989400
85000,9.171300,16.956000,15.949500
86000,11.005800,15.923700,16.508400
87000,10.508000,15.924700,20.987500
88000,9.017700,10.992500,9.944600
89000,8.975700,9.973900,11.005600
90000,9.001200,10.725600,10.111100
91000,9.974100,11.564800,10.408200
92000,9.080300,11.079300,10.757200
93000,9.012700,10.966500,11.935700
94000,8.538800,18.916100,11.003400
95000,9.483400,12.966100,11.810900
96000,9.031600,10.971600,11.967700
97000,9.627800,11.970800,11.119200
98000,10.049400,11.891300,12.001100
99000,12.997000,12.933500,17.976700
100000,9.780300,11.196100,12.077800
101000,11.968100,11.967400,12.725900
102000,9.974100,12.997800,11.966800
103000,10.295300,11.997800,12.933000
104000,9.972400,12.001000,12.933400
105000,9.972300,12.000400,12.933200
106000,11.075600,13.107000,11.859500
107000,9.972200,12.965300,13.034000
108000,10.570700,12.977000,13.079300
109000,10.969900,12.998600,13.422700
110000,12.370900,12.965500,13.963100
111000,10.005600,13.929700,14.001000
112000,11.139700,12.829200,13.960700
113000,11.001900,13.930800,12.742800
114000,10.992500,13.975500,12.961500
115000,11.533600,13.398500,13.996100
116000,15.956300,25.931900,26.926500
117000,16.125000,26.699700,26.181600
118000,16.956200,27.949600,25.907000
119000,16.955100,27.014300,26.873000
120000,16.987600,27.089800,28.964700
121000,16.896200,27.505800,26.928000
122000,16.953300,29.921400,27.925600
123000,17.035200,27.845900,28.063600
124000,16.986100,27.935400,41.878600
125000,17.984500,31.914600,29.295200
126000,17.137300,28.772300,27.893200
127000,17.984600,28.889800,27.925100
128000,17.989900,28.885900,29.919500
129000,16.986600,29.976100,36.935000
130000,16.069500,29.848700,32.903600
131000,15.957700,26.867200,24.994000
132000,15.956800,26.929200,26.926600
133000,21.956700,28.896500,26.820700
134000,16.955100,25.930600,26.959400
135000,17.717600,26.163800,26.929300
136000,16.987400,27.901500,25.931100
137000,17.951200,27.587000,26.270100
138000,18.170200,37.678200,35.939300
139000,23.925100,27.925200,28.333600
140000,17.951900,27.982600,26.903900
141000,18.214000,27.828100,27.925100
142000,21.939400,27.925500,27.925300
143000,21.737500,28.131000,27.927000
144000,18.651000,29.212000,27.635800
145000,19.437100,29.574100,28.580900
146000,18.950200,29.713500,35.902900
147000,24.934900,30.277100,28.565400
148000,19.868900,29.050200,28.795400
149000,19.922700,29.914100,28.922500
