size,sortTime1,sortTime2
0,0.000000,0.000000
1000,0.000000,7.989600
2000,0.000000,30.904900
3000,0.997800,68.784300
4000,0.998100,118.691500
5000,0.999000,182.510300
6000,0.998100,258.322200
7000,0.996500,349.109300
8000,1.993800,441.828800
9000,1.994400,545.766700
10000,1.998600,664.219400
11000,1.989900,786.854400
12000,2.992000,929.546400
13000,2.991900,1098.069600
14000,3.983500,1269.177300
15000,2.991300,1431.220200
16000,3.996500,1586.485600
17000,3.989000,1727.380800
18000,3.988800,1926.846900
19000,4.986800,2088.497500
20000,4.986200,2308.262500
21000,5.983700,2519.903000
22000,5.983200,2665.897600
23000,5.983600,2887.426800
24000,4.987700,3133.761300
25000,6.029100,3336.311500
26000,5.986300,3541.672700
27000,6.983400,3787.854300
28000,7.978300,3990.541100
29000,6.983700,4242.763100
30000,7.979000,4498.307900
31000,7.979500,4770.683000
32000,7.982800,4980.028700
33000,7.978500,5237.182400
34000,9.971900,5511.793900
35000,8.971100,5734.940100
36000,9.976100,5958.072800
37000,8.975900,6233.568500
38000,10.973100,6475.669400
39000,10.965900,6788.098100
40000,10.970400,7019.376500
41000,10.969500,7295.675000
42000,10.969300,7600.917000
43000,10.991500,7862.682100
44000,10.981500,8086.653900
45000,11.968200,8359.995400
46000,12.965000,8584.338400
47000,12.968700,9046.477000
48000,12.965100,9198.695100
49000,12.965000,9516.633300
50000,12.969800,9745.858400
51000,12.965300,9968.356600
52000,12.965100,10314.378700
53000,13.961000,10567.256700
54000,15.005600,10830.457500
55000,13.962400,11094.715800
56000,15.957200,11448.784400
57000,14.959300,11631.056900
58000,14.959800,11957.208400
59000,15.957100,12277.349500
60000,16.954100,12591.254300
61000,16.958600,13113.607600
62000,16.954500,13398.416900
63000,17.909400,13532.866100
64000,17.951800,13820.259200
65000,16.953100,14088.312900
66000,18.946900,14790.271500
67000,18.906100,14914.300900
68000,19.946900,15235.500900
69000,20.943600,15525.724700
70000,18.946400,15807.849000
71000,19.942900,16020.136200
72000,20.943500,16378.266500
73000,20.944200,16612.314800
74000,20.944000,16892.961600
75000,19.946300,17234.956300
76000,20.943600,17367.988600
77000,20.944500,17686.969500
78000,20.944100,18115.035100
79000,24.976100,18428.857000
80000,22.940400,18686.767000
81000,22.938900,19165.394500
82000,21.943000,19313.067700
83000,23.936100,19548.906800
84000,23.936300,19809.725000
85000,22.938500,20089.794100
86000,23.959900,20395.527800
87000,23.935800,20690.708100
88000,25.942500,20992.300800
89000,24.931700,21197.694600
90000,25.930300,21609.466900
91000,25.931300,21835.822200
92000,25.932400,22093.531300
93000,25.931500,22482.936300
94000,27.925000,22810.522000
95000,27.925200,22962.535400
96000,26.926200,23116.794000
97000,26.938000,23781.022100
98000,27.925200,23457.124300
99000,27.925200,23855.096900
100000,28.920800,23972.778200
