queryNumber,Time
0,0.000000
100,0.000000
200,0.000000
300,0.000000
400,0.000000
500,0.000000
600,0.000000
700,0.000000
800,0.000000
900,0.000000
1000,0.997500
1100,0.000000
1200,0.000000
1300,0.000000
1400,0.000000
1500,0.000000
1600,0.000000
1700,0.997300
1800,0.000000
1900,0.997000
2000,0.000000
2100,0.000000
2200,0.000000
2300,0.000000
2400,0.000000
2500,0.999200
2600,0.000000
2700,0.998100
2800,0.000000
2900,0.965500
3000,0.000000
3100,0.996900
3200,0.000000
3300,0.997600
3400,0.997300
3500,0.000000
3600,0.996900
3700,0.000000
3800,0.996600
3900,0.000000
4000,0.000000
4100,0.997200
4200,0.000000
4300,0.000000
4400,0.997300
4500,0.997100
4600,0.998000
4700,0.996400
4800,0.000000
4900,0.996600
5000,0.000000
5100,0.998200
5200,0.999700
5300,0.000000
5400,0.998700
5500,0.998000
5600,0.996500
5700,0.997000
5800,0.997200
5900,0.000000
6000,0.000000
6100,0.000000
6200,0.997000
6300,0.997700
6400,0.996900
6500,0.997200
6600,0.997500
6700,0.996600
6800,0.997500
6900,0.997400
7000,0.996200
7100,0.997000
7200,0.997400
7300,0.997300
7400,0.997500
7500,0.997500
7600,0.997700
7700,0.997100
7800,0.997200
7900,0.997500
8000,0.997000
8100,0.997600
8200,0.998200
8300,0.997300
8400,1.996700
8500,0.997800
8600,0.997200
8700,0.997200
8800,1.995000
8900,0.998000
9000,0.997900
9100,1.994000
9200,0.998000
9300,1.994300
9400,0.997200
9500,1.994700
9600,0.998600
9700,1.993900
9800,0.996700
9900,0.998800
10000,0.996800
10100,0.997000
10200,0.997400
10300,0.997000
10400,0.998100
10500,1.993700
10600,0.997300
10700,0.996000
10800,0.997400
10900,0.997800
11000,0.998300
11100,0.997400
11200,0.997900
11300,0.997600
11400,0.996300
11500,1.995100
11600,1.993900
11700,0.997000
11800,3.988800
11900,1.994400
12000,1.994200
12100,1.993700
12200,1.994100
12300,0.997700
12400,1.993900
12500,0.997200
12600,1.042800
12700,2.986100
12800,1.022400
12900,1.995200
13000,1.020600
13100,2.994700
13200,1.985700
13300,2.021600
13400,1.025500
13500,1.970500
13600,0.996000
13700,2.991000
13800,2.988300
13900,1.994500
14000,1.993500
14100,2.992900
14200,2.025700
14300,2.027100
14400,2.992300
14500,2.990500
14600,2.030800
14700,1.993700
14800,1.994100
14900,1.994400
15000,2.026900
15100,2.026700
15200,2.025800
15300,1.995300
15400,1.959900
15500,1.993200
15600,1.995600
15700,2.018100
15800,2.019200
15900,1.969400
16000,2.018000
16100,2.019200
16200,1.970800
16300,1.968700
16400,1.994700
16500,1.997300
16600,2.027200
16700,2.026100
16800,1.995500
16900,2.027000
17000,2.960100
17100,1.961600
17200,3.026000
17300,1.966200
17400,1.996200
17500,2.012900
17600,1.994500
17700,2.988100
17800,2.025600
17900,2.992300
18000,1.994500
18100,2.994100
18200,2.999400
18300,1.996500
18400,3.024700
18500,2.027900
18600,2.023800
18700,3.017700
18800,1.994600
18900,2.992100
19000,2.025700
19100,2.951200
19200,1.992800
19300,1.995400
19400,2.992800
19500,3.024200
19600,3.023100
19700,2.991100
19800,2.993800
19900,2.992100
20000,1.994500
20100,1.994700
20200,1.995600
20300,2.021800
20400,2.020500
20500,3.019300
20600,2.962300
20700,2.024900
20800,3.027400
20900,4.020300
21000,2.995300
21100,2.990800
21200,2.992800
21300,4.989600
21400,3.988900
21500,3.989300
21600,2.992000
21700,2.992600
21800,3.989400
21900,2.993000
22000,3.023700
22100,2.026900
22200,3.024700
22300,2.992300
22400,4.954700
22500,3.024300
22600,2.991900
22700,3.021600
22800,2.992700
22900,3.025500
23000,2.992300
23100,2.993700
23200,2.991700
23300,3.988100
23400,2.993300
23500,2.996800
23600,2.990500
23700,4.024500
23800,3.035800
23900,2.991100
24000,2.953400
24100,3.951600
24200,4.002700
24300,3.024100
24400,2.990600
24500,2.993700
24600,3.023600
24700,2.992000
24800,3.997200
24900,3.990400
25000,3.023900
25100,3.023800
25200,2.992100
25300,3.015700
25400,2.989900
25500,3.978900
25600,2.990200
25700,3.988900
25800,3.990100
25900,3.988900
26000,4.984500
26100,3.989800
26200,2.991600
26300,4.987400
26400,3.025300
26500,3.987300
26600,5.985200
26700,6.981000
26800,3.990300
26900,3.014200
27000,3.019200
27100,2.992300
27200,4.013300
27300,4.003800
27400,4.986000
27500,5.983500
27600,5.981000
27700,3.989200
27800,3.016400
27900,3.987400
28000,4.022100
28100,3.986800
28200,3.992000
28300,3.986800
28400,3.956100
28500,3.990700
28600,4.023000
28700,3.991600
28800,4.021600
28900,2.994200
29000,2.983800
29100,4.021900
29200,4.012600
29300,4.026700
29400,3.989900
29500,2.992800
29600,4.986100
29700,3.985400
29800,5.983000
29900,3.990100
30000,4.013100
30100,3.984200
30200,3.986300
30300,4.025100
30400,4.018900
30500,4.021000
30600,4.026400
30700,4.987200
30800,4.014500
30900,4.010700
31000,4.986200
31100,3.986900
31200,3.990900
31300,4.931400
31400,3.952300
31500,3.984300
31600,5.958300
31700,5.983900
31800,3.988600
31900,3.990800
32000,6.016900
32100,4.013100
32200,3.990100
32300,3.989900
32400,4.022100
32500,5.017300
32600,4.987900
32700,3.988400
32800,4.971500
32900,5.942700
33000,3.988900
33100,4.986400
33200,3.990200
33300,3.989700
33400,5.012800
33500,5.011300
33600,4.011400
33700,4.013300
33800,3.961700
33900,3.964300
34000,4.013500
34100,4.983500
34200,3.975800
34300,4.963100
34400,4.020900
34500,4.943800
34600,4.954300
34700,3.988300
34800,4.020900
34900,5.021300
35000,4.012900
35100,4.987600
35200,5.020800
35300,4.022600
35400,4.985700
35500,5.023400
35600,4.951900
35700,5.015700
35800,5.033100
35900,5.986600
36000,5.022600
36100,4.952300
36200,5.019300
36300,4.952300
36400,4.990400
36500,4.015300
36600,4.987100
36700,3.988400
36800,5.022700
36900,5.016800
37000,4.986400
37100,4.986600
37200,5.985300
37300,5.015700
37400,4.987600
37500,4.986600
37600,4.987600
37700,4.985600
37800,4.987400
37900,5.984200
38000,5.013400
38100,5.010200
38200,4.986400
38300,5.010600
38400,5.983300
38500,4.986600
38600,5.011900
38700,4.986400
38800,5.022100
38900,5.010800
39000,4.986800
39100,5.984200
39200,5.010500
39300,5.985500
39400,4.986500
39500,5.011200
39600,4.987200
39700,5.012100
39800,5.020600
39900,4.986200
40000,5.984000
40100,6.981200
40200,5.988300
40300,5.017000
40400,4.962200
40500,5.018900
40600,4.985700
40700,5.956000
40800,5.019000
40900,5.984300
41000,6.013600
41100,6.021600
41200,6.007800
41300,5.009800
41400,6.983700
41500,5.983300
41600,6.015400
41700,4.987400
41800,5.983400
41900,5.018600
42000,5.010800
42100,6.017100
42200,7.978300
42300,8.976200
42400,5.996400
42500,6.021800
42600,8.011500
42700,6.015800
42800,5.983700
42900,6.008400
43000,5.984800
43100,5.004600
43200,5.985300
43300,4.986200
43400,4.986900
43500,6.982300
43600,4.947000
43700,6.010200
43800,6.007800
43900,6.982200
44000,5.984100
44100,6.005300
44200,5.983000
44300,6.025600
44400,7.016200
44500,5.949400
44600,5.983600
44700,4.986800
44800,6.010900
44900,5.983500
45000,5.984600
45100,5.984500
45200,6.010300
45300,6.980300
45400,6.978900
45500,6.011300
45600,6.018800
45700,5.984200
45800,5.984000
45900,5.982600
46000,8.012300
46100,6.944500
46200,6.017700
46300,6.009400
46400,6.009700
46500,6.000000
46600,6.007400
46700,6.009000
46800,6.981500
46900,5.984000
47000,5.984500
47100,6.008500
47200,6.008400
47300,6.008300
47400,6.008400
47500,6.008300
47600,6.008800
47700,6.980700
47800,7.016100
47900,9.972800
48000,6.010200
48100,6.007200
48200,5.985600
48300,7.019000
48400,6.015900
48500,5.985800
48600,5.984900
48700,6.022200
48800,5.985700
48900,5.985300
49000,6.980900
49100,6.018300
49200,7.012200
49300,6.953100
49400,5.994600
49500,6.953000
49600,9.996400
49700,7.007400
49800,8.963600
49900,6.982000
50000,7.005000
50100,9.974800
50200,6.981000
50300,13.963200
50400,7.012900
50500,7.016700
50600,8.936300
50700,7.943300
50800,6.981200
50900,6.981700
51000,10.971000
51100,7.013300
51200,6.981000
51300,7.009400
51400,6.982000
51500,7.002400
51600,6.982800
51700,6.980600
51800,6.981700
51900,10.006200
52000,8.967900
52100,9.939300
52200,8.016500
52300,7.011100
52400,6.983100
52500,6.961800
52600,7.003900
52700,7.013500
52800,7.015100
52900,7.014100
53000,6.563300
53100,7.969700
53200,7.013800
53300,7.007900
53400,8.955000
53500,6.979600
53600,6.981400
53700,6.981200
53800,6.980700
53900,6.979200
54000,7.005200
54100,7.988800
54200,7.015700
54300,6.981000
54400,13.995800
54500,6.981600
54600,7.011900
54700,7.941000
54800,7.988500
54900,7.000000
55000,7.978000
55100,8.008500
55200,7.977400
55300,9.972700
55400,7.949000
55500,7.953200
55600,7.988000
55700,7.005900
55800,8.006400
55900,6.983600
56000,8.001500
56100,8.000000
56200,8.002800
56300,7.976500
56400,7.946100
56500,6.945900
56600,6.982300
56700,7.011800
56800,7.935400
56900,7.978100
57000,7.979400
57100,6.982100
57200,7.959100
57300,7.977000
57400,7.978400
57500,7.979500
57600,6.937500
57700,7.979100
57800,7.978100
57900,7.946500
58000,7.976300
58100,8.003700
58200,7.980300
58300,9.940400
58400,10.972700
58500,7.977500
58600,7.976000
58700,7.971100
58800,11.001500
58900,7.028500
59000,8.011700
59100,7.944100
59200,8.014500
59300,7.987500
59400,8.002500
59500,8.063100
59600,7.979400
59700,7.978900
59800,8.013400
59900,8.009900
60000,7.980600
60100,7.977900
60200,7.978500
60300,7.980100
60400,7.978600
60500,8.010200
60600,8.976300
60700,8.003000
60800,9.004400
60900,7.978300
61000,7.978600
61100,7.977500
61200,7.979700
61300,7.979700
61400,9.006700
61500,8.011400
61600,7.970000
61700,9.000100
61800,7.979900
61900,8.014700
62000,8.012700
62100,8.003900
62200,8.011400
62300,9.001500
62400,8.975700
62500,7.978900
62600,7.978000
62700,8.002100
62800,8.003900
62900,8.976800
63000,7.978500
63100,8.952000
63200,8.948700
63300,8.005200
63400,7.979800
63500,7.978500
63600,8.978300
63700,9.002900
63800,9.002500
63900,8.979600
64000,9.006400
64100,7.979500
64200,8.999200
64300,7.979100
64400,8.975700
64500,8.010000
64600,9.009700
64700,8.013500
64800,9.009700
64900,8.967200
65000,8.004000
65100,8.975200
65200,7.979400
65300,10.010000
65400,7.977100
65500,9.008600
65600,7.977600
65700,8.009900
65800,8.999400
65900,12.964000
66000,9.973500
66100,7.979000
66200,8.007600
66300,8.978200
66400,8.986900
66500,8.975400
66600,9.010200
66700,9.010400
66800,9.002700
66900,8.949000
67000,8.005400
67100,8.014400
67200,8.977100
67300,7.980500
67400,9.018900
67500,8.975400
67600,8.976700
67700,8.954000
67800,8.974100
67900,8.435600
68000,10.988900
68100,8.942600
68200,9.010900
68300,8.987200
68400,9.972600
68500,8.950200
68600,8.978400
68700,8.013400
68800,8.973300
68900,8.976800
69000,9.010000
69100,11.967600
69200,8.975300
69300,9.009200
69400,9.008700
69500,8.975700
69600,8.976500
69700,8.975600
69800,9.010700
69900,9.960300
70000,8.941100
70100,10.007200
70200,9.972400
70300,8.976000
70400,8.973700
70500,8.976800
70600,9.004100
70700,9.004200
70800,8.933900
