queryNumber,Time
0,0.000000
100,0.000000
200,0.000000
300,0.000000
400,0.000000
500,0.000000
600,0.000000
700,0.000000
800,0.000000
900,0.000000
1000,0.000000
1100,0.000000
1200,0.998200
1300,0.997000
1400,0.000000
1500,0.000000
1600,0.000000
1700,0.000000
1800,0.000000
1900,0.000000
2000,0.000000
2100,0.000000
2200,0.000000
2300,0.000000
2400,0.000000
2500,0.000000
2600,0.997500
2700,0.997200
2800,0.000000
2900,0.997500
3000,0.000000
3100,0.000000
3200,0.000000
3300,0.000000
3400,0.000000
3500,0.000000
3600,0.000000
3700,0.000000
3800,0.000000
3900,0.000000
4000,0.961200
4100,0.997700
4200,0.994900
4300,0.996700
4400,0.961700
4500,0.000000
4600,0.000000
4700,0.000000
4800,0.992400
4900,0.000000
5000,1.028700
5100,0.000000
5200,0.000000
5300,0.000000
5400,0.000000
5500,1.024700
5600,0.997600
5700,0.998000
5800,0.000000
5900,1.032900
6000,1.006600
6100,1.031200
6200,0.998100
6300,0.000000
6400,0.000000
6500,0.000000
6600,0.000000
6700,0.996300
6800,1.024100
6900,1.023700
7000,0.000000
7100,1.020000
7200,0.998900
7300,0.996900
7400,0.996000
7500,0.996500
7600,0.997400
7700,0.996300
7800,0.996900
7900,1.032400
8000,0.996400
8100,1.027800
8200,0.997500
8300,0.997200
8400,0.997500
8500,0.998100
8600,0.997600
8700,0.998000
8800,1.020500
8900,0.997800
9000,0.996600
9100,0.997100
9200,0.996800
9300,0.997100
9400,0.997000
9500,0.996900
9600,0.997500
9700,1.993900
9800,1.029000
9900,0.999500
10000,0.996600
10100,0.997400
10200,0.998700
10300,0.998100
10400,1.962600
10500,0.997000
10600,0.997800
10700,0.965400
10800,1.994100
10900,1.985200
11000,1.993500
11100,1.993800
11200,0.996800
11300,1.994100
11400,0.997000
11500,0.997500
11600,1.994700
11700,1.994500
11800,1.994700
11900,1.994300
12000,1.994200
12100,0.997000
12200,1.994200
12300,1.993900
12400,1.994500
12500,1.994500
12600,0.997500
12700,1.994300
12800,1.994000
12900,2.992100
13000,1.994600
13100,1.994200
13200,1.994200
13300,1.994600
13400,1.940700
13500,1.995700
13600,1.993900
13700,1.995600
13800,1.994200
13900,1.994200
14000,1.994600
14100,1.993700
14200,2.993000
14300,1.994600
14400,1.993700
14500,1.993900
14600,1.994500
14700,2.992000
14800,1.994200
14900,1.993700
15000,1.994600
15100,1.994700
15200,2.992700
15300,2.992800
15400,1.994300
15500,2.991800
15600,1.994700
15700,3.989800
15800,1.993800
15900,2.994400
16000,2.992100
16100,1.994200
16200,2.992300
16300,1.994800
16400,1.994100
16500,2.991000
16600,2.992500
16700,1.994600
16800,3.990300
16900,1.993500
17000,3.990900
17100,2.994000
17200,2.992500
17300,3.028900
17400,2.992400
17500,2.989600
17600,2.982400
17700,2.990800
17800,2.992500
17900,2.959900
18000,2.992000
18100,2.991000
18200,6.983400
18300,4.986300
18400,2.991900
18500,2.990400
18600,2.991900
18700,4.986400
18800,2.991100
18900,3.990700
19000,2.992400
19100,3.990900
19200,2.990600
19300,3.990300
19400,3.989500
19500,3.989500
19600,2.991100
19700,3.989700
19800,2.991400
19900,3.989400
20000,3.989600
20100,4.987100
20200,3.989600
20300,3.989700
20400,3.989200
20500,3.989800
20600,2.991300
20700,3.991100
20800,3.989200
20900,4.987100
21000,3.988900
21100,3.990000
21200,3.989700
21300,3.989300
21400,3.989200
21500,3.988300
21600,3.950400
21700,3.986700
21800,5.984300
21900,4.020700
22000,3.989400
22100,3.957200
22200,4.987700
22300,3.989300
22400,4.987100
22500,3.987600
22600,4.985300
22700,8.975600
22800,5.984900
22900,4.020600
23000,5.975800
23100,4.986500
23200,4.985900
23300,4.986900
23400,4.954900
23500,3.989700
23600,4.984500
23700,4.987800
23800,4.214500
23900,5.019900
24000,4.950700
24100,4.986200
24200,6.980500
24300,5.020500
24400,4.985400
24500,4.021200
24600,4.954200
24700,4.988100
24800,4.986700
24900,4.986300
25000,5.012400
25100,5.983900
25200,4.986300
25300,4.985900
25400,4.986000
25500,5.984000
25600,5.081700
25700,5.984000
25800,6.019500
25900,4.986400
26000,5.982500
26100,5.020100
26200,5.962300
26300,5.985200
26400,4.986800
26500,5.020800
26600,5.984800
26700,5.985400
26800,5.983700
26900,5.984000
27000,5.984400
27100,5.983900
27200,4.987500
27300,5.989000
27400,5.983200
27500,5.983800
27600,6.017300
27700,6.980200
27800,5.992500
27900,5.983900
28000,6.983600
28100,6.732900
28200,5.984100
28300,5.994800
28400,6.990900
28500,6.950700
28600,6.990900
28700,5.984200
28800,11.478400
28900,6.017200
29000,5.984700
29100,6.981300
29200,5.985500
29300,5.986000
29400,7.947100
29500,6.949200
29600,5.983200
29700,6.980800
29800,6.949500
29900,6.949000
30000,6.981700
30100,7.000000
30200,7.981000
30300,6.981600
30400,7.980600
30500,6.982700
30600,7.947900
30700,6.979100
30800,6.976800
30900,6.981200
31000,6.981800
31100,7.979400
31200,6.988400
31300,6.981800
31400,7.011600
31500,6.984600
31600,6.979000
31700,7.979100
31800,7.980000
31900,8.005600
32000,6.956600
32100,6.980900
32200,7.945200
32300,8.010900
32400,7.944400
32500,8.012100
32600,9.010700
32700,7.979400
32800,9.008900
32900,7.981100
33000,9.972900
33100,7.985500
33200,7.978900
33300,9.003000
33400,8.010500
33500,8.014600
33600,10.971100
33700,9.973100
33800,8.010500
33900,9.009300
34000,7.979800
34100,8.989500
34200,7.971800
34300,9.974000
34400,8.008900
34500,8.942400
34600,13.958500
34700,9.011300
34800,8.974600
34900,8.978100
35000,8.986600
35100,9.972700
35200,8.951000
35300,9.940600
35400,8.978100
35500,8.976200
35600,8.978400
35700,9.973000
35800,10.580100
35900,10.970400
36000,9.948200
36100,9.973000
36200,9.973600
36300,8.978300
36400,15.959200
36500,11.967900
36600,11.202500
36700,10.968900
36800,12.932800
36900,9.973800
37000,10.970900
37100,10.971600
37200,9.972900
37300,11.967400
37400,9.973000
37500,10.970600
37600,10.969500
37700,11.967700
37800,22.939000
37900,11.968700
38000,10.971500
38100,10.970600
38200,11.967400
38300,10.970000
38400,12.966200
38500,10.969100
38600,10.070600
38700,10.971500
38800,10.971100
38900,13.962500
39000,11.968700
39100,10.933400
39200,9.973200
39300,12.964800
39400,10.970400
39500,13.963600
39600,11.970000
39700,10.971300
39800,12.930200
39900,11.968400
40000,10.971000
40100,11.190400
40200,13.935400
40300,10.961400
40400,10.971200
40500,11.968900
40600,9.974000
40700,14.936200
40800,11.967600
40900,11.968100
41000,11.933900
41100,11.936900
41200,14.957200
41300,11.944400
41400,11.969100
41500,10.970800
41600,11.966200
41700,11.957200
41800,11.942600
41900,11.972000
42000,12.965600
42100,12.965000
42200,11.967100
42300,11.969300
42400,12.966300
42500,11.966500
42600,11.989900
42700,12.965500
42800,16.954800
42900,12.964700
43000,12.967400
43100,12.966700
43200,12.965500
43300,14.992300
43400,13.961000
43500,12.965200
43600,12.931900
43700,12.966700
43800,13.930000
43900,22.938400
44000,13.993600
44100,13.963900
44200,26.962900
44300,12.964700
44400,12.959000
44500,13.995800
44600,14.949400
44700,12.964800
44800,12.973500
44900,12.960600
45000,13.963100
45100,11.968400
45200,12.966500
45300,12.997700
45400,13.994500
45500,12.965400
45600,13.001600
45700,13.985700
45800,12.966200
45900,13.987000
46000,15.957500
46100,13.963300
46200,14.026000
46300,14.992800
46400,13.996300
46500,13.961100
46600,14.958200
46700,12.965300
46800,13.961900
46900,13.962700
47000,18.948000
47100,14.960900
47200,13.963000
47300,13.962100
47400,13.960500
47500,13.963100
47600,13.994100
47700,14.000200
47800,15.959200
47900,13.996800
48000,14.960200
48100,13.936700
48200,13.960800
48300,13.962100
48400,14.960400
48500,13.963600
48600,14.926400
48700,15.959000
48800,14.958200
48900,13.969300
49000,14.959800
49100,14.927400
49200,14.924300
49300,14.958800
49400,14.961400
49500,14.964800
49600,14.959500
49700,15.959000
49800,24.933800
49900,15.974600
50000,15.956200
50100,14.959600
50200,16.015500
50300,14.960200
50400,14.958700
50500,14.959600
50600,16.983400
50700,15.957200
50800,14.912200
50900,14.928900
51000,15.958400
51100,14.992800
51200,14.955400
51300,15.992000
51400,15.956100
51500,15.966500
51600,14.992100
51700,15.525900
51800,16.950900
51900,15.956600
52000,15.932600
52100,15.466100
52200,14.960200
52300,15.956100
52400,15.989100
52500,15.957600
52600,15.983000
52700,27.924500
52800,17.983000
52900,17.942400
53000,15.957400
53100,16.989600
53200,15.954000
53300,16.989800
53400,15.957400
53500,15.950300
53600,16.955400
53700,16.956200
53800,15.988500
53900,16.922700
54000,17.989500
54100,16.947600
54200,16.955100
54300,16.985200
54400,16.918400
54500,16.959400
54600,16.986200
54700,16.923400
54800,16.926000
54900,16.985200
55000,17.951700
55100,16.919200
55200,17.985400
55300,16.923600
55400,17.950800
55500,17.951800
55600,17.952500
55700,21.940000
55800,24.215700
55900,17.953000
56000,17.952800
56100,17.990500
56200,18.981900
56300,16.923000
56400,17.983200
56500,16.987400
56600,17.954100
56700,17.917800
56800,17.972700
56900,17.933400
57000,17.950900
57100,17.917300
57200,18.949300
57300,18.947400
57400,17.462900
57500,19.944800
57600,17.950500
57700,18.948500
57800,18.947600
57900,20.912000
58000,18.942100
58100,18.949300
58200,26.958300
58300,17.923000
58400,19.948500
58500,18.980300
58600,22.914100
58700,20.023900
58800,18.981000
58900,18.917300
59000,22.938700
59100,19.946400
59200,19.946700
59300,18.981700
59400,18.947600
59500,19.945000
59600,19.910400
59700,18.983700
59800,21.910300
59900,18.950400
60000,22.968500
60100,20.916300
60200,20.912600
60300,19.939100
60400,20.979200
60500,19.979000
60600,19.979600
60700,19.980300
60800,19.948200
60900,19.912400
61000,19.924300
61100,19.946800
61200,20.979100
61300,19.946600
61400,20.912100
61500,19.945200
61600,27.901500
61700,21.939000
61800,20.453800
61900,21.943800
62000,20.953100
62100,21.942700
62200,20.945000
62300,20.945600
62400,20.976100
62500,21.941100
62600,21.947200
62700,21.973800
62800,20.915100
62900,21.941500
63000,20.944300
63100,21.943000
63200,19.944600
63300,21.942800
63400,21.939400
63500,20.944300
63600,22.937300
63700,21.973700
63800,20.977000
63900,21.941400
64000,21.102900
64100,21.975600
64200,20.977300
64300,21.966000
64400,21.939600
64500,21.939600
64600,22.970300
64700,23.938000
64800,22.939300
64900,23.366000
65000,22.914200
65100,22.906200
65200,24.004100
65300,22.939200
65400,25.936400
65500,24.955900
65600,23.937800
65700,22.936800
65800,24.932900
65900,21.938000
66000,22.968000
66100,23.935100
66200,23.453800
66300,23.906100
66400,32.282700
66500,23.438400
66600,27.966600
66700,22.951200
66800,24.930100
66900,24.932600
67000,24.932300
67100,22.938700
67200,24.963500
67300,23.936900
67400,23.933300
67500,27.971000
67600,23.937700
67700,22.971300
67800,24.902700
67900,22.941200
68000,24.971300
68100,24.340500
68200,24.900600
68300,23.938400
68400,23.945400
68500,23.934400
68600,24.968100
68700,24.965800
68800,24.900100
68900,24.932500
69000,25.912200
69100,23.913000
69200,24.933500
69300,23.969100
69400,23.936100
69500,24.934100
69600,24.899300
69700,25.904800
69800,25.933600
69900,24.934500
70000,24.900400
70100,23.968400
70200,25.931600
70300,23.970700
70400,25.013900
70500,24.930700
70600,30.917000
70700,24.968000
70800,24.934800
