queryNumber,LinearProbe,QuadraticProbe
100,0.000000,0.000000
200,0.000000,0.000000
300,0.000000,0.000000
400,0.000000,0.000000
500,0.000000,0.000000
600,0.000000,0.000000
700,0.996900,0.000000
800,0.000000,0.000000
900,0.000000,0.000000
1000,0.000000,0.000000
1100,0.000000,0.000000
1200,0.000000,0.000000
1300,0.000000,0.997200
1400,0.997500,0.000000
1500,0.000000,0.000000
1600,0.997100,0.000000
1700,0.000000,0.000000
1800,0.962800,0.000000
1900,0.965300,0.000000
2000,1.039500,0.000000
2100,0.965500,0.000000
2200,0.000000,0.000000
2300,0.000000,0.000000
2400,0.995800,0.000000
2500,0.000000,0.000000
2600,0.996900,0.000000
2700,0.000000,0.000000
2800,0.997200,0.000000
2900,1.959200,0.997200
3000,0.997900,0.000000
3100,0.996400,0.000000
3200,0.997800,0.000000
3300,0.997500,0.000000
3400,0.995300,0.999900
3500,0.994800,0.998200
3600,1.022800,0.970500
3700,1.994200,0.000000
3800,0.997500,0.000000
3900,1.994300,0.000000
4000,1.993000,0.000000
4100,0.996900,0.000000
4200,1.032300,0.000000
4300,3.990000,1.022200
4400,2.961200,0.000000
4500,1.993900,0.000000
4600,0.997000,0.997300
4700,1.030100,0.000000
4800,1.995200,0.000000
4900,2.989800,0.000000
5000,4.014900,0.997100
5100,4.002400,0.000000
5200,4.024600,0.000000
5300,2.985300,0.966800
5400,2.958600,0.998200
5500,0.958900,0.994500
5600,1.994100,0.997600
5700,3.023100,0.000000
5800,3.989300,0.997200
5900,5.018000,1.028700
6000,5.018200,0.000000
6100,6.980500,0.000000
6200,5.985800,0.000000
6300,3.988400,0.963500
6400,3.965900,0.000000
6500,2.027700,0.997300
6600,1.990200,1.032500
6700,3.962300,0.000000
6800,5.093500,0.984800
6900,9.000000,0.966600
7000,12.964600,0.997700
7100,8.008800,1.000800
7200,8.986600,0.950700
7300,7.979600,0.965600
7400,8.979300,0.974500
7500,8.942500,1.000600
7600,7.978500,1.031400
7700,8.967900,0.000000
7800,6.982200,1.028000
7900,4.946600,0.000000
8000,2.960800,0.000000
8100,2.956400,1.005900
8200,2.959700,0.995500
8300,2.990800,0.972500
8400,4.985700,0.000000
8500,6.957700,0.000000
8600,9.973600,0.000000
8700,11.967900,0.996300
8800,568.482400,0.997300
8900,15.931000,0.997400
9000,15.957200,0.997800
9100,16.955400,0.076300
9200,17.951100,0.998400
9300,18.948800,0.997100
9400,19.944900,0.000000
9500,19.946400,0.000000
9600,18.949000,0.997200
9700,20.916600,1.001800
9800,691.117100,0.997000
9900,18.973400,1.022000
10000,17.950700,1.000200
10100,15.992700,1.002200
10200,12.964000,0.997100
10300,9.973200,0.965400
10400,8.947100,1.022000
10500,7.005500,0.997300
10600,5.984300,0.997000
10700,3.988400,0.996700
10800,2.969200,1.026800
10900,4.020900,0.000000
11000,831.959800,0.997000
11100,6.015300,0.000000
11200,7.948000,0.000000
11300,10.016700,0.992100
11400,12.965000,0.997400
11500,15.957900,0.997400
11600,887.573100,0.997300
11700,21.973200,0.997200
11800,23.904800,1.054800
11900,23.935500,0.997900
12000,24.965300,0.993300
12100,26.963900,0.989200
12200,27.926800,1.993900
12300,30.922900,0.996800
12400,32.912100,0.997400
12500,34.487000,0.984400
12600,35.904000,0.548700
12700,37.900900,0.994400
12800,37.860000,0.963800
12900,39.892400,1.993200
13000,42.882700,1.992300
13100,45.911900,1.995500
13200,47.856500,0.995300
13300,47.820600,0.997300
13400,47.872200,1.007500
13500,47.878100,0.994300
13600,47.870800,1.995000
13700,46.876700,1.992900
13800,45.869600,1.997300
13900,1213.295600,0.989000
14000,48.834000,0.997300
14100,47.873100,0.995900
14200,47.871900,1.962600
14300,47.873700,0.997200
14400,48.869300,0.997000
14500,47.870600,2.026000
14600,1308.416500,1.001000
14700,44.888100,1.007100
14800,43.883300,0.997200
14900,42.931600,1.994700
15000,42.492400,0.966800
15100,39.399800,0.997300
15200,39.406400,0.997000
15300,30.916000,1.994700
15400,28.927000,0.995200
15500,26.929800,0.997300
15600,22.939000,1.960600
