queryNumber,OptimalBST,Array,HashTable
0,0.000000,0.000000,0.000000
1000,0.058100,0.779800,0.502900
2000,0.662900,0.698700,0.656600
3000,0.998800,0.993700,0.996900
4000,1.637700,1.360900,0.990800
5000,0.997600,1.994900,1.999200
6000,1.989800,2.431800,1.925300
7000,1.986100,2.018600,2.977200
8000,1.994400,3.998400,4.410800
9000,4.408100,5.061700,2.991500
10000,2.159900,2.252000,2.993700
11000,2.993900,3.037100,3.942300
12000,2.992100,3.992800,2.990200
13000,3.923800,2.958500,4.200100
14000,2.997400,4.641400,3.331000
15000,3.985600,3.990300,4.766800
16000,3.108300,5.474200,4.504500
17000,3.995700,4.981200,4.016800
18000,3.989000,5.158000,4.873500
19000,4.987400,4.986100,5.987100
20000,4.986900,5.046400,5.983400
21000,5.037600,5.932300,5.983800
22000,6.179100,5.993300,6.972600
23000,5.984400,5.982700,6.981300
24000,5.991100,7.125300,6.978500
25000,5.985700,6.981500,7.979000
26000,6.189000,6.979200,8.114800
27000,7.165100,7.325800,7.983700
28000,6.587700,6.980700,9.040800
29000,7.232600,7.454900,8.653300
30000,7.980800,7.977000,9.011200
31000,11.017000,11.278600,8.982000
32000,8.005900,8.994400,12.984300
33000,7.028000,8.920200,8.975500
34000,7.978200,9.452500,9.973800
35000,8.276000,10.177900,11.968900
36000,8.006300,10.941700,10.400600
37000,9.006500,10.083300,10.900300
38000,8.669900,11.002300,10.940200
39000,9.971800,9.972800,11.566300
40000,10.501400,10.768000,11.559100
41000,10.454200,12.475700,16.832100
42000,9.974600,11.967900,11.968700
43000,12.360100,19.946900,11.968200
44000,13.962300,11.977200,12.966200
45000,11.029300,17.973000,11.968200
46000,11.259900,12.830300,12.905400
47000,12.003600,13.962000,12.618400
48000,10.969800,14.033000,12.932300
49000,10.025500,12.373200,12.593200
50000,15.987200,12.004900,13.962600
51000,14.923500,11.968800,13.993700
52000,11.143700,11.882300,15.027000
53000,10.965500,12.274300,14.959500
54000,11.968500,12.996800,14.834800
55000,16.759700,12.508200,14.958500
56000,12.998600,13.963300,14.959800
57000,11.259700,14.162000,17.986500
58000,11.967400,14.483200,15.972100
59000,12.730800,13.303600,16.284300
60000,12.663100,13.338500,16.922500
61000,13.397000,21.975100,16.953600
62000,13.325400,14.968300,16.464200
63000,13.989000,14.932400,18.265800
64000,12.964200,17.194500,20.943100
65000,13.963000,14.993500,18.593100
66000,15.844800,15.748100,17.235000
67000,22.406100,19.947300,17.986600
68000,14.861500,15.955200,19.089800
69000,14.742800,15.957500,18.998300
70000,15.527000,17.123100,19.943800
71000,18.355800,22.129200,20.357400
72000,19.476000,26.547100,20.761900
73000,20.880900,22.957200,21.001400
74000,18.983900,23.360300,21.509200
75000,19.237700,24.051300,20.909700
76000,29.710300,23.687200,21.941100
77000,19.529100,24.090900,22.987000
78000,18.512500,25.414200,22.457700
79000,19.997900,24.531900,22.971000
80000,19.172500,25.495200,22.899800
81000,19.971600,26.569100,22.938600
82000,20.154400,25.935000,23.888500
83000,20.296800,26.043800,23.903900
84000,20.227900,27.040800,23.887500
85000,23.994600,40.383100,40.820000
86000,34.906700,41.501100,40.888700
87000,35.634100,41.308800,40.632400
88000,40.442000,42.605000,41.055500
89000,36.226600,42.693000,42.098500
90000,37.174400,42.976200,42.739600
91000,36.498200,42.976600,44.088900
92000,37.397300,45.619300,44.079000
93000,37.459900,36.269700,30.869300
94000,24.192000,31.912000,31.239400
95000,25.095000,32.000600,30.950200
96000,24.558200,32.975500,33.908400
97000,25.025500,33.866800,31.300400
98000,25.807200,33.373000,32.386000
99000,25.930500,33.663200,33.025700
100000,26.126100,33.910000,33.713200
101000,27.061200,34.539700,32.906400
102000,26.713800,34.971600,33.975600
103000,28.226800,35.771700,34.216300
104000,26.831100,32.133900,30.790700
105000,25.521500,37.895200,30.930400
106000,25.915100,33.957400,30.916500
107000,27.078900,34.074700,35.957900
108000,26.568700,34.926200,31.283900
109000,27.396200,34.603000,31.305900
110000,27.282800,35.061300,31.954600
111000,26.923300,36.023800,31.329100
112000,28.584700,34.843000,32.335100
113000,27.952500,38.179200,32.232700
114000,28.999800,35.902600,32.912200
115000,25.973200,30.935800,32.961000
116000,26.025900,31.703600,32.961500
117000,29.010800,33.338700,33.578100
118000,26.737100,32.043300,34.287900
119000,27.034000,31.914200,34.911100
120000,27.162700,32.667100,39.174700
121000,27.848700,32.987300,34.013900
122000,32.178400,33.019900,41.772600
123000,38.082900,33.900500,41.513400
124000,30.983400,32.995200,43.329500
125000,38.895900,46.951300,46.635800
126000,40.464500,47.425000,52.956000
127000,40.587100,47.005700,46.865000
128000,41.481200,49.619600,46.371900
129000,41.077900,48.378900,47.389900
130000,40.890400,48.936500,48.002900
131000,43.306400,49.036600,47.887700
132000,42.169200,39.843500,41.231600
133000,31.659700,39.964200,42.956500
134000,31.497100,45.844600,42.106300
135000,32.425400,40.591000,43.990200
136000,35.989100,40.965000,42.972200
137000,32.911600,41.245900,42.920500
138000,33.427000,41.672900,43.088000
139000,32.414300,42.777000,42.885400
140000,32.918000,37.994300,43.441300
141000,31.788900,49.134600,40.445400
142000,36.154200,39.852300,41.095400
143000,32.688200,38.157800,40.422200
144000,32.246700,39.927900,41.194200
145000,33.901500,38.992600,41.922200
146000,33.117800,39.907600,42.205100
147000,33.804800,39.766000,41.935200
148000,33.931700,39.918300,44.918800
149000,38.043800,38.050700,52.996300
150000,43.076400,38.002400,46.611300
151000,37.059300,38.006000,45.866100
152000,36.825100,38.593000,46.488500
153000,39.343600,39.052300,47.467200
154000,37.415600,39.562500,46.964100
155000,38.229100,40.105300,47.409000
156000,38.801300,40.453900,50.673500
157000,39.893000,42.153200,54.819700
158000,45.061700,41.896600,58.398000
159000,39.916700,42.951700,55.877800
160000,40.901400,42.278100,54.884000
161000,40.874100,41.983200,56.392800
162000,46.121800,51.296700,60.667400
163000,41.857700,47.864600,48.869300
164000,35.906600,38.931100,43.883600
165000,35.939500,40.357500,44.330800
166000,35.938100,40.283700,45.555000
167000,35.903300,41.158800,45.931000
168000,35.792700,41.502800,45.430300
169000,37.972400,41.193400,45.909100
170000,39.972000,40.982000,47.245600
171000,36.745200,41.854000,52.121000
172000,44.457300,63.889200,56.700900
173000,44.958800,59.504800,57.557800
174000,45.017100,59.109700,57.910500
175000,44.933500,60.129600,58.584700
176000,46.206000,58.967300,59.063600
177000,47.591400,60.156900,57.817000
178000,61.833800,62.952300,54.482800
179000,45.962600,55.746600,53.855900
180000,46.080500,56.027000,54.056400
181000,57.572600,58.843300,59.888200
182000,46.460200,60.563200,55.000500
183000,46.475800,57.633200,55.821800
184000,45.069200,49.996100,56.020800
185000,45.996000,50.272900,55.361900
186000,51.942800,62.970500,56.775400
187000,45.877600,50.120900,57.315700
188000,46.397000,50.866800,57.203300
189000,47.532800,49.922500,56.941200
190000,46.641800,60.943300,60.068600
191000,47.236700,61.190700,57.622300
192000,47.325900,62.159800,54.827500
193000,47.084100,61.943100,56.361200
194000,48.869000,61.834100,55.864100
195000,48.181200,62.961000,56.883900
196000,48.571600,55.578700,54.901000
197000,47.436200,54.635000,61.552800
198000,48.000800,55.760400,55.864700
199000,47.036400,55.019800,56.879800
200000,46.800200,56.964400,56.422700
201000,47.562000,56.279000,59.847700
202000,47.204800,54.992500,72.372300
203000,52.997900,53.922200,72.077500
204000,47.902200,53.854100,72.185500
205000,47.702700,55.329500,71.888700
206000,47.053600,54.988000,73.412700
207000,52.682200,60.019100,72.087700
208000,52.010300,54.925200,63.141500
209000,52.056400,55.873000,64.005200
210000,52.248800,56.502600,63.163100
211000,57.961300,57.695100,68.800000
212000,52.374900,57.003500,64.246800
213000,53.186700,56.575900,65.988200
214000,49.958200,60.093100,61.320500
215000,50.079300,62.165700,79.541200
216000,50.348000,60.683700,61.418600
217000,53.461600,60.647500,60.922900
218000,50.862600,62.032700,71.434200
219000,51.232200,50.524400,69.331100
220000,49.521400,51.016100,80.665100
221000,49.635400,51.585700,69.613300
222000,62.088400,54.850900,71.930900
223000,48.740300,53.089700,80.890900
224000,49.901800,52.364300,67.922400
225000,56.270900,73.372300,66.423100
226000,55.969200,74.065300,65.146300
227000,57.802500,74.033300,66.002900
228000,57.712900,73.380000,73.896500
229000,62.282600,75.094700,74.681900
230000,58.835600,77.153400,83.938000
231000,57.892100,61.370600,83.099300
232000,59.746000,61.176000,81.272300
233000,59.791700,61.925000,81.619800
234000,60.493600,61.841800,72.223500
235000,57.270700,60.653500,71.612500
236000,57.316700,60.361000,72.351700
237000,58.217500,60.080900,74.002900
238000,63.933800,60.252700,73.116200
239000,63.328300,60.329100,78.208200
240000,61.933100,76.982600,83.853100
241000,63.169600,78.413900,81.703100
242000,65.226900,78.129300,81.714600
243000,63.389200,83.241500,83.793200
244000,61.177800,69.776400,69.612600
245000,61.405500,69.275200,70.069500
246000,58.111100,69.715800,79.161600
247000,59.220400,68.887200,69.704300
248000,58.101400,69.149200,70.423100
249000,60.304500,67.017200,76.007500
250000,61.009800,67.107200,76.274800
251000,62.131800,66.985400,77.648700
252000,61.970200,69.357700,79.811800
253000,63.029900,67.803800,77.286000
254000,64.858900,79.041800,76.818400
255000,64.373700,79.833500,83.850800
256000,69.263600,80.184400,77.632600
257000,65.072600,83.250800,85.655400
