WQUF,UF
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.997500,0.000000
0.000000,0.997300
0.000000,0.000000
0.000000,0.996900
0.000000,0.997100
0.433200,0.151000
0.310000,0.000000
0.000000,1.177100
0.000000,1.327700
0.000000,0.997200
0.000000,1.993900
0.998100,0.997400
1.031500,0.000000
0.987200,0.998200
0.905800,0.997000
0.997300,1.024700
1.021900,0.972500
0.998300,0.996700
1.387400,0.606700
1.892900,0.644500
0.997400,0.997200
0.996000,0.997000
1.029600,0.968100
1.994100,0.997700
0.937400,1.996800
0.997200,1.994400
1.994100,0.997100
0.997400,2.185800
1.991000,2.381300
1.651900,0.970400
2.990900,2.991800
1.994700,0.998400
2.553900,1.575600
2.021900,1.966700
1.995200,1.994700
4.023400,2.825300
1.995300,2.991900
2.527600,1.996300
1.994600,1.994700
2.772800,1.994000
1.994300,1.995000
2.992800,1.994100
2.021700,2.994200
2.015600,2.989600
3.157600,2.219200
3.025000,3.989800
1.994600,3.404300
2.857900,2.501300
1.995000,3.024000
2.989200,1.991500
2.991700,2.992500
2.991600,2.992400
2.584300,3.016200
3.021900,2.990000
2.990900,2.993400
2.992000,3.020100
2.997500,3.328800
2.650400,3.988700
2.993100,3.988800
2.992300,3.989300
3.989700,3.014600
2.992800,4.021300
3.958100,3.025400
6.016200,3.989400
3.015600,4.051300
2.990500,3.303000
3.990800,3.988400
4.743700,4.232300
6.684000,3.379600
3.300100,3.706200
3.903000,4.015000
4.126500,3.851000
3.990700,3.989200
6.982100,4.985300
3.022800,4.956500
4.986700,7.016800
3.988900,4.985800
5.070600,4.022300
4.167500,6.801900
6.979800,7.102600
7.736500,4.231900
3.989600,4.986300
5.494100,3.990700
5.019000,4.955400
4.986300,4.020800
6.463500,4.986300
5.020200,5.539300
6.778600,5.773700
3.989400,5.022300
3.938600,5.019200
7.049100,4.985100
4.986200,6.016900
6.581000,6.112700
4.986300,4.986500
4.987300,5.018600
4.987100,4.987500
6.004500,5.209900
5.014200,5.046300
4.987700,6.260900
4.854900,5.984900
4.986400,6.135000
9.976900,10.238100
4.986400,6.007500
5.959000,5.983900
5.152900,6.230700
5.760700,5.961200
4.986400,6.402300
5.702800,5.578400
5.986300,6.020500
5.982900,5.983800
5.984000,6.545800
5.984300,5.586300
6.153200,5.814400
5.977500,6.358300
5.983900,5.984500
6.019800,5.984600
5.657600,7.155600
6.854200,6.414900
6.103800,11.961000
10.125400,8.976600
6.212400,6.981200
6.917700,7.977900
6.498000,6.855300
7.311300,6.839800
6.979400,6.820500
7.069400,6.982800
7.977700,7.016700
6.980400,7.018800
6.019900,7.409700
5.945500,6.982000
9.940300,8.976200
7.978500,7.148200
6.982000,14.960400
15.097200,13.973900
13.962000,15.636500
15.097700,15.964200
14.961000,15.355000
14.959900,15.660800
15.679300,18.452000
15.957200,15.652100
14.960200,16.508700
14.701900,15.989600
15.801700,15.990400
16.187000,15.943000
15.982800,22.913200
16.557400,15.819700
15.991900,16.173600
16.993400,15.818900
16.544600,16.922200
21.331800,16.550500
16.525900,16.954300
17.610700,16.986900
17.424200,17.002100
16.482300,18.720900
18.045100,17.371400
17.265600,17.765000
17.952600,17.952100
17.347600,17.608800
16.788300,17.171300
17.823900,16.953900
17.306300,19.252600
22.610500,16.955400
9.976000,11.227000
10.998200,12.294100
10.457400,13.962800
17.134900,16.789300
10.779200,14.507700
11.941300,11.051400
11.696500,11.470200
10.981500,11.955700
12.926500,11.967400
11.278800,12.128700
10.886200,12.005800
12.002100,10.937400
11.278800,11.968000
11.811400,11.128000
12.107000,11.863800
11.939700,11.936800
12.039600,12.052000
11.107300,11.969000
12.250900,11.685100
11.976800,12.002200
11.969600,11.966400
12.399100,12.471800
12.557400,12.326600
18.539200,12.998600
12.473500,11.966600
13.160400,11.908900
12.013100,12.954900
11.594200,12.992200
12.999500,12.747600
11.991200,13.119500
12.265600,13.023700
12.274800,12.997500
12.991000,13.250700
12.963900,13.016800
13.970900,12.998300
12.999000,16.085600
14.241800,12.989300
15.318500,15.724800
10.239500,11.003700
11.006000,18.425200
13.480500,10.972600
10.970400,10.972400
10.947400,10.936100
11.003900,11.113200
10.215800,10.997100
12.130000,10.970700
11.002800,10.965300
10.971400,10.971000
10.934000,12.108600
10.740800,11.004000
11.491600,10.912400
10.947100,12.196600
11.772100,11.039600
11.205400,12.002900
10.970200,11.966400
10.942200,12.053400
10.669800,11.816300
11.965900,11.969100
10.970100,17.037800
10.970700,11.536600
12.561900,11.966000
10.945500,11.988600
12.010600,12.667500
12.622200,12.708900
11.915000,12.330600
12.054700,11.969200
11.184900,11.975600
12.554000,11.741600
16.955400,11.970500
11.511600,12.932200
13.235500,11.724400
11.946400,13.022600
12.310500,12.932800
11.968100,13.212500
11.968400,12.958300
12.989400,16.004700
12.963100,13.019200
11.968000,12.965200
11.783600,13.197500
12.570900,13.066200
12.965900,13.032500
13.961700,16.987900
12.965800,13.745700
12.449200,12.836800
12.959200,13.962600
13.965600,12.964700
12.967800,13.788800
11.934400,14.298500
12.965300,13.467300
12.965500,13.102900
12.966600,13.971700
16.161400,14.041100
13.718700,13.208000
12.965300,13.796700
12.698700,14.080300
12.965000,14.093100
12.964200,13.962500
13.961600,14.162600
13.319900,13.607500
14.937900,25.152600
12.997400,13.963000
14.807500,14.115800
13.007900,14.322600
14.056800,13.993700
14.056000,14.583400
13.999100,14.133700
14.959200,14.960100
14.041900,15.920600
13.962400,13.963300
14.725600,13.751700
13.957900,14.368500
14.541400,13.928900
14.101100,15.818900
15.053800,14.562900
14.961000,22.117000
13.972200,15.949800
13.962500,15.258400
14.551300,14.903500
13.955300,14.969400
14.770700,14.960000
16.954400,17.951400
14.058100,15.787700
14.960100,14.960900
15.023100,15.896800
18.950900,20.502900
14.959600,14.914500
14.967600,15.950200
14.962900,14.957200
13.963000,16.233500
14.954000,15.960500
15.393900,15.957500
14.959800,15.845400
17.705800,15.962500
15.645000,16.042600
14.963600,15.950200
14.941600,16.020600
15.841400,15.883800
15.013400,15.924200
15.022900,15.894500
15.410700,15.957800
15.993100,15.530900
20.976700,17.910300
15.604900,16.182900
20.743700,19.950400
19.199700,20.292900
19.947600,20.941900
21.971600,23.987300
20.022900,19.950600
19.769800,21.060900
19.945600,20.056000
21.971400,25.899000
19.956900,33.420200
22.066000,21.139000
19.947800,20.976000
20.132500,21.115300
21.021800,20.970600
20.136900,25.963700
20.447800,21.032900
21.020900,21.681700
20.769200,21.519900
