WQUF,UF
0.000000,0.000000
0.000000,0.000000
0.440200,0.000000
0.000000,0.515400
0.000000,1.026100
0.000000,0.997000
0.997600,0.657700
0.000000,7.728900
0.000000,1.994100
0.982000,0.956800
0.997000,3.989400
0.997300,4.987000
0.537100,1.044800
0.000000,7.792200
0.997200,2.992200
0.998000,14.080800
0.997400,1.993800
2.352800,1.906400
0.997500,1.994700
0.856100,12.965700
1.393700,9.651000
1.112200,2.876800
1.995300,10.970100
0.998100,16.954600
0.997600,2.991500
1.994400,22.939200
1.995100,44.429600
2.002100,23.738200
2.026600,3.957600
2.274900,5.686800
2.026500,76.213300
2.294000,39.627200
1.996900,4.192100
1.967900,46.874300
1.965400,5.024800
2.030700,58.009100
2.991500,4.022100
2.990800,75.438800
2.031600,24.667100
3.012200,66.114700
2.967800,87.979900
1.993600,70.489000
1.994600,5.662500
3.461900,144.004900
3.507700,159.620100
3.922400,175.129300
3.979200,161.800300
4.026800,208.082000
2.990300,74.098900
3.577600,65.198600
3.989000,127.142400
1.994400,126.353100
2.990800,1.994500
2.985000,90.830700
1.993700,50.083000
3.369000,2.666700
2.990400,81.249600
2.992100,140.973000
2.549400,13.183500
2.993800,96.781000
3.034300,211.163900
2.996200,147.360300
3.301800,42.862900
4.015700,125.898600
3.584900,22.125300
2.990600,79.601100
2.994300,171.420600
2.991900,86.943900
3.990900,306.671000
3.396700,54.104600
3.988900,118.920600
4.986300,68.109900
3.988800,69.958600
4.985200,277.914600
3.989900,262.221600
4.645000,330.435800
9.900000,223.327100
9.010800,373.325500
9.694300,437.212900
3.878100,279.997300
4.245200,361.405100
5.106300,343.991000
3.990900,204.062200
5.019000,525.020700
4.988800,283.640600
5.400400,586.533600
5.745400,262.672200
8.012500,312.812000
8.011000,626.998700
4.596400,582.093700
4.986400,384.608800
4.987000,389.846100
4.989000,105.236800
4.554000,549.991700
6.614300,111.708800
5.982100,105.786500
5.983800,451.851300
5.984700,452.923800
9.290900,136.879100
9.000000,635.888400
5.688900,553.589900
6.180900,58.006900
4.799300,95.018000
5.013600,510.808600
5.091900,471.273600
4.565500,159.273700
5.984000,232.082400
8.017200,241.963100
7.598200,65.027800
8.227100,719.970000
7.367000,49.614600
6.981900,503.588100
7.981400,283.137600
4.985700,354.079900
5.746300,564.844400
5.493200,779.788900
5.451500,769.707400
8.977200,554.110500
7.368500,600.934500
7.886400,297.856300
9.285600,368.278400
9.974500,214.931500
8.532300,986.950900
5.984500,657.621600
5.329100,1180.525300
7.980300,665.656900
17.017500,1169.378200
6.280100,808.919200
7.305600,1082.997800
7.969700,643.072500
7.977100,1153.935400
7.359500,955.541100
6.737500,565.403900
7.677500,1356.851600
19.972900,1203.190100
7.704400,936.751300
7.012600,956.673800
10.923600,1373.363200
8.920400,672.222200
6.981500,1061.425000
6.983000,1427.865500
11.346400,403.201100
8.638800,291.240100
9.318600,1296.189100
7.195900,913.651200
7.169600,470.696300
10.969600,1542.714900
14.490200,921.971700
7.013800,732.966300
6.947900,1295.083600
9.822000,1079.224400
14.469700,401.557600
8.011500,779.177300
10.274700,140.810600
7.978800,110.861100
7.005100,874.953700
9.289600,911.029400
18.948800,1288.515600
7.671800,821.920900
10.039300,453.270800
7.963600,740.754100
10.343300,1422.454900
11.956500,2123.286300
10.200200,132.274100
20.317000,418.695100
13.054200,1206.847700
10.870000,1240.486600
9.942700,367.383800
8.527300,1413.068400
13.468200,1634.084000
22.828700,1455.518000
8.164200,956.781300
8.534000,1455.047100
16.953200,702.488800
8.978500,2374.281500
12.073500,432.214500
10.970700,1762.515300
8.979800,1299.263200
11.017700,1718.324700
11.609700,1299.884100
9.628500,1125.467400
14.339900,2041.710900
9.216800,239.337500
9.285100,533.193900
9.972200,1429.272900
13.963000,1090.692500
13.842400,1381.786000
9.515700,261.943900
10.134100,1552.787200
17.332800,281.003700
17.030900,925.300000
8.975400,1405.631300
10.009900,2287.210900
20.078300,507.915100
10.063300,2537.868600
11.967600,945.963400
14.532300,2380.290400
13.457000,1841.386200
9.975600,87.118000
14.179200,1596.838800
